candidate_id,fold_id,mse,rmse,mae,smape,base_rmse,naive_rmse,rmse_ratio_vs_base,rmse_ratio_vs_naive,elapsed_seconds,correction_latency_ms_p95,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate,correction_weight,correction_limit
current_no_news,validation_1,0.027255180694353794,0.16509143131717585,0.07874080594533978,1.2370228589967254,0.16542092707621348,0.1675141785043881,0.9980081373931255,0.9855370619439907,1.5313769999993383,2.5904849999999997,20,20,106,0.24882629107981222,0.5,0.1
current_no_news,validation_2,0.006944600436765901,0.08333426928200607,0.05100191208641739,0.8562197058481337,0.08425749896228736,0.09289158279330884,0.9890427594973533,0.8971132450981211,1.9915105999971274,2.135855,17,20,161,0.3368200836820084,0.5,0.1
current_no_news,validation_3,0.004329089101889561,0.06579581371097679,0.027399746862502426,0.45832611424049663,0.06593181321420953,0.08187701847188959,0.9979372703918988,0.803593180833351,2.3601504000034765,2.562775,20,20,181,0.34150943396226413,0.5,0.1
news_impact_sigma015,validation_1,0.02728699269203429,0.1651877498243568,0.07888270963339646,1.239369300158395,0.16542092707621348,0.1675141785043881,0.9985904005256285,0.986112049136364,1.7009797999999137,2.87003,20,20,147,0.34507042253521125,0.5,0.1
news_impact_sigma015,validation_2,0.007007896345913699,0.08371317904555829,0.05056051206984879,0.8499279662126429,0.08425749896228736,0.09289158279330884,0.9935398044870439,0.9011922988956576,2.0835224999973434,2.6546999999999996,20,20,153,0.3200836820083682,0.5,0.1
news_impact_sigma015,validation_3,0.004339630099340909,0.06587586886972277,0.02739001384171995,0.458113466583002,0.06593181321420953,0.08187701847188959,0.9991514817845977,0.804570929660068,2.173203600003035,3.1243499999999997,20,20,172,0.32452830188679244,0.5,0.1
news_core_sigma015,validation_1,0.027309365674154804,0.16525545580753093,0.0788992789503012,1.2395420024267845,0.16542092707621348,0.1675141785043881,0.9989996956757091,0.9865162297482896,1.8854563999993843,2.4176599999999997,17,20,186,0.43661971830985913,0.5,0.1
news_core_sigma015,validation_2,0.007016101156890926,0.08376217020165444,0.05053784216802669,0.8494705932582194,0.08425749896228736,0.09289158279330884,0.9941212501352001,0.9017197003525275,2.0400116000018897,2.46028,20,20,179,0.37447698744769875,0.5,0.1
news_core_sigma015,validation_3,0.004335061082539763,0.06584118074989058,0.027192946900168397,0.45486352304305144,0.06593181321420953,0.08187701847188959,0.9986253606582229,0.8041472684120208,2.9272894999958226,3.00915,20,20,250,0.4716981132075472,0.5,0.1
news_core_sigma030,validation_1,0.02720015020068243,0.1649246803867827,0.07904342427817511,1.2411762826138544,0.16542092707621348,0.1675141785043881,0.9970000972778847,0.9845416182634501,1.7887348999938695,2.69259,18,20,153,0.3591549295774648,0.5,0.1
news_core_sigma030,validation_2,0.007106404499986605,0.0842994928809575,0.05146444808185727,0.8631295167447905,0.08425749896228736,0.09289158279330884,1.0004983997767243,0.9075041068955686,2.071394999999029,2.6246049999999994,20,20,161,0.3368200836820084,0.5,0.1
news_core_sigma030,validation_3,0.004320102795860108,0.0657274888905708,0.027059854848300383,0.4527257700009395,0.06593181321420953,0.08187701847188959,0.9969009752094199,0.8027586997826096,2.5411831000019447,3.09692,20,20,202,0.38113207547169814,0.5,0.1
news_all_sigma030,validation_1,0.027212039828179484,0.16496072207704318,0.07880923403618678,1.238508123246327,0.16542092707621348,0.1675141785043881,0.9972179759398987,0.9847567743211777,1.9574843000009423,2.5647999999999995,18,20,161,0.3779342723004695,0.5,0.1
news_all_sigma030,validation_2,0.007057609097310012,0.08400957741418541,0.05108217393953384,0.8590099848639929,0.08425749896228736,0.09289158279330884,0.9970575729026455,0.9043830978864189,2.372553400004108,3.0115149999999997,20,20,198,0.41422594142259417,0.5,0.1
news_all_sigma030,validation_3,0.004321216596952553,0.06573596121570409,0.02706940752678274,0.4529276813188948,0.06593181321420953,0.08187701847188959,0.9970294765310166,0.8028621760118546,3.1718276999963564,3.1387049999999994,20,20,253,0.47735849056603774,0.5,0.1
