candidate_id,fold_id,mse,rmse,mae,smape,naive_rmse,rmse_ratio,elapsed_seconds,prediction_latency_ms_p95,n_rules,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate
current_vs_baseline,validation_1,0.027604418198708926,0.16614577394176755,0.07623805195338494,1.2148083702217867,0.1675141785043881,0.991831111999963,1.249891999999818,0.89696,10,10,20,117,0.24375
current_vs_baseline,validation_2,0.008475083146706612,0.09206021478742385,0.06416394913707955,1.083668260612171,0.09289158279330884,0.9910501255239148,1.1811182000001281,1.164305,9,9,20,119,0.2236842105263158
current_vs_baseline,validation_3,0.004391794175285641,0.06627061321042413,0.03206929706357327,0.5348146227514119,0.08187701847188959,0.8093921157275221,1.4548516999984713,1.4758099999999998,12,12,20,121,0.2071917808219178
vs_beta_recovery_0.10,validation_1,0.027812837853134844,0.16677181372502622,0.07609821354742338,1.2150884009606435,0.1675141785043881,0.9955683465961513,1.044597199999771,1.258965,15,15,20,76,0.15833333333333333
vs_beta_recovery_0.10,validation_2,0.010247397173177101,0.10122942839499342,0.07290665557374419,1.2327480318805852,0.09289158279330884,1.0897588925816557,1.3488171999997576,1.31228,11,11,20,100,0.18796992481203006
vs_beta_recovery_0.10,validation_3,0.006257042154037943,0.07910146745818274,0.04054926599398704,0.6717980538272694,0.08187701847188959,0.9661009760063531,1.9531116000016482,0.80455,8,8,20,154,0.2636986301369863
vs_beta_recovery_0.25,validation_1,0.02773187365484236,0.1665288973567121,0.07597382967272008,1.211858789828166,0.1675141785043881,0.9941182223709488,1.0377371000013227,1.29083,15,15,20,79,0.16458333333333333
vs_beta_recovery_0.25,validation_2,0.009345716959795579,0.09667324841855465,0.06661319334326755,1.114822826488812,0.09289158279330884,1.0407105306156783,1.1845782999989751,1.2636349999999998,11,11,20,101,0.18984962406015038
vs_beta_recovery_0.25,validation_3,0.006611270662499835,0.08130972059046714,0.03534712095389396,0.5889053626469751,0.08187701847188959,0.9930713417267725,1.6056202999989182,0.9229350000000001,9,9,20,132,0.22602739726027396
vs_beta_recovery_0.50,validation_1,0.02772523260291171,0.16650895652460174,0.07609880939237304,1.2140400446655382,0.1675141785043881,0.9939991827034508,1.2301742999989074,1.231085,14,14,20,79,0.16458333333333333
vs_beta_recovery_0.50,validation_2,0.009419980005309466,0.09705658146313142,0.06984538459785385,1.1816484316480838,0.09289158279330884,1.0448372020863295,1.27314639999895,0.96643,7,7,20,128,0.24060150375939848
vs_beta_recovery_0.50,validation_3,0.003690860413807242,0.06075245191601111,0.04170273789059609,0.6917688186797666,0.08187701847188959,0.7419963873851725,1.7830904999991617,0.7800849999999999,7,7,20,156,0.2671232876712329
vs_beta_floor_0.001,validation_1,0.02773187386486439,0.16652889798729945,0.0759738295098032,1.211858789857154,0.1675141785043881,0.9941182261353307,1.0331208999996306,1.2998150000000002,15,15,20,79,0.16458333333333333
vs_beta_floor_0.001,validation_2,0.009345716605305492,0.09667324658511005,0.06661318975989414,1.1148227707151372,0.09289158279330884,1.0407105108782106,1.1680931999999302,1.3706049999999999,11,11,20,101,0.18984962406015038
vs_beta_floor_0.001,validation_3,0.006614394967739997,0.08132893069345001,0.03508089936695949,0.5844525090521011,0.08187701847188959,0.9933059631546335,1.604445899998609,0.98397,8,8,20,135,0.23116438356164384
