candidate_id,mean_rmse,worst_rmse,mean_rmse_ratio,worst_rmse_ratio,rmse_ratio_std,mean_mae,mean_smape,latency_ms_p95,max_rules,max_dictionary_size,dictionary_replacements,dictionary_replacement_rate,selection_score,beats_naive_all_folds
current_vs_baseline,0.10815886731320518,0.16614577394176755,0.9307577844171333,0.991831111999963,0.10510647761830046,0.057490432718012595,0.9444304178617898,1.4758099999999998,12,20,121,0.24375,1.139634654578956,True
vs_forgetting_0.98,0.10828629402242512,0.16615058058743287,0.9323047317207905,0.9918598059631143,0.10243981709799185,0.05823376381051463,0.9564893027432576,1.298985,11,20,119,0.23958333333333334,1.1409206746232126,True
vs_forgetting_0.995,0.10828740621572457,0.16615129110928664,0.9323163673070383,0.9918640475255904,0.10243238876112021,0.05821927950737251,0.9563171369241038,1.30788,11,20,119,0.23958333333333334,1.1409324156882683,True
vs_beta_recovery_0.50,0.10810599663458142,0.16650895652460174,0.9269442573916509,1.0448372020863295,0.16217401770519047,0.06254897729360766,1.029152431664463,1.231085,14,20,156,0.2671232876712329,1.1521290995794358,False
vs_dynamics_adaptive,0.11175851233208216,0.1668680205588118,0.9759849613236513,1.0024525456850342,0.040501751873292996,0.05555412064824413,0.9113939750523237,2.70077,20,30,233,0.4191729323308271,1.1805256456479873,False
vs_exogenous_adaptive,0.11337932704341495,0.16708860712082735,0.9929179809195237,0.9983330553642346,0.008633710158680719,0.055618718721328,0.9150003348314032,2.60261,20,30,192,0.3287671232876712,1.1934479630082386,True
vs_exogenous_paper,0.11350344114764915,0.16706819751390373,0.9943726932124551,1.000508120536668,0.008039013723914395,0.05562480317743462,0.9150694423170446,2.587225,20,20,234,0.4323308270676692,1.1952782186921802,False
vs_dictionary_30,0.11416333832214054,0.16615839327662113,1.0026338860768496,1.0230040919285137,0.017649450290847978,0.062255337336128196,1.0253300506225513,1.1102599999999996,10,30,88,0.18333333333333332,1.2089996494916373,False
vs_beta_floor_0.005,0.11462289853759901,0.1658273856529619,1.0081313061432475,1.0409405599464683,0.028470367061124553,0.05977452376569733,0.9783663838645298,1.1826149999999997,14,20,136,0.2328767123287671,1.2191664548386536,False
vs_beta_recovery_0.25,0.11483728878857796,0.1665288973567121,1.0093000315711331,1.0407105306156783,0.027207325804667306,0.05931138132329387,0.9718623263213177,1.29083,15,20,132,0.22602739726027396,1.2201628702747356,False
vs_beta_floor_0.001,0.11484369175528651,0.16652889798729945,1.0093782333893915,1.0407105108782106,0.027137587443704723,0.05922263954555227,0.9703780232081307,1.3706049999999999,15,20,135,0.23116438356164384,1.220234094309404,False
vs_beta_recovery_0.10,0.11570090319273413,0.16677181372502622,1.01714273839472,1.0897588925816557,0.0645903310801604,0.06318471170505154,1.0398781622228326,1.31228,15,20,154,0.2636986301369863,1.2415535500190673,False
vs_dictionary_40,0.11762940538926085,0.16615599547969567,1.0438413158016528,1.0914244982630534,0.04990961349125331,0.0674208539357091,1.1118561395434063,1.178335,10,40,59,0.12291666666666666,1.2671171768033889,False
