fold,model,rmse,mae,rmse_quiet,rmse_event,rmse_ratio_vs_naive,directional_accuracy,n
validation_1,momentum,0.1648042044507895,0.07863071280107975,0.03476848765843783,0.22625133095502303,0.9838224198226444,0.7291666666666666,52
validation_1,paridade,0.15564830142573408,0.07511493009786809,0.038511871596715895,0.2128025835232159,0.9291649388452023,0.7083333333333334,52
validation_1,paridade_l2,0.15512345988932544,0.07552688848513964,0.03848491577573693,0.21206775188003352,0.9260318217497149,0.75,52
validation_1,paridade_ecm,0.15490284016764821,0.07535012855160703,0.03984940581441564,0.21152312681457133,0.9247148005659144,0.7083333333333334,52
validation_1,paridade_l2_ecm,0.15473576760416632,0.07578777983793508,0.03954757200412723,0.21133998789637592,0.9237174368503557,0.7291666666666666,52
validation_1,paridade_l2_ecm_brent,0.1550571345012298,0.07582131279021394,0.03782865800730957,0.21208366568323567,0.9256358827988284,0.75,52
validation_1,paridade_l2_ecm_prod,0.1548599484888116,0.07669598640884272,0.03775710525916198,0.21181783006919447,0.9244587525154175,0.7083333333333334,52
validation_1,arima,0.165437065781523,0.07938531069698739,0.040495735572183854,0.22625881339089374,0.987600376628354,0.6666666666666666,52
validation_1,persistence,0.1675141785043881,0.07573076923076924,0.009718024490604977,0.23228422882960212,1.0,0.0,52
validation_2,momentum,0.08471229204147027,0.051999260585801906,0.012976813676133195,0.1000857741050996,0.9119479881181685,0.8235294117647058,52
validation_2,paridade,0.08185097876946056,0.05100283910508904,0.023690353979774162,0.09585459267312925,0.8811452696589905,0.7450980392156863,52
validation_2,paridade_l2,0.07907309702700586,0.049600755119283,0.02283301113253656,0.09260678964343122,0.8512407114749008,0.7843137254901961,52
validation_2,paridade_ecm,0.08080831383813415,0.05078069201720704,0.026390691509515663,0.09431289463064144,0.8699207334849605,0.7254901960784313,52
validation_2,paridade_l2_ecm,0.07825557361269357,0.04949179388538984,0.024921615095086107,0.09140469947574169,0.8424398773225605,0.7843137254901961,52
validation_2,paridade_l2_ecm_brent,0.0778217019405223,0.04907344245220024,0.02118844999468486,0.09126573067432098,0.837769145496011,0.7843137254901961,52
validation_2,paridade_l2_ecm_prod,0.0777134186566749,0.04844526067255387,0.025288430550655255,0.09071114715138778,0.8366034501704362,0.803921568627451,52
validation_2,arima,0.08441648377518568,0.05127249410885281,0.012509592877809452,0.09975809570950547,0.9087635417195881,0.8235294117647058,52
validation_2,persistence,0.09289158279330884,0.060576923076923035,0.014605934866804159,0.10972939688406448,1.0,0.0,52
validation_3,momentum,0.06566552417225177,0.02812037295121037,0.012710667559021564,0.10217016203298798,0.8020018974530243,0.6341463414634146,52
validation_3,paridade,0.06477954052378704,0.02673329178826022,0.013009686563842061,0.10070357514470317,0.791180989889458,0.7073170731707317,52
validation_3,paridade_l2,0.06472439444837774,0.02638437556621884,0.013100080638212988,0.10059841919006002,0.7905074666415611,0.7073170731707317,52
validation_3,paridade_ecm,0.06373232875981207,0.026580556129527453,0.01385027350291646,0.09886676305018804,0.7783909325141456,0.7560975609756098,52
validation_3,paridade_l2_ecm,0.06385563976130136,0.026195269673405405,0.013827187971206384,0.09906834989805234,0.7798969839531295,0.7073170731707317,52
validation_3,paridade_l2_ecm_brent,0.06395768830029239,0.026277370981722746,0.014209461187688725,0.09915146998807652,0.7811433475957682,0.7317073170731707,52
validation_3,paridade_l2_ecm_prod,0.06463485620416021,0.02627758079544451,0.014388160156999185,0.10019527775344292,0.7894138967255012,0.7073170731707317,52
validation_3,arima,0.0653156878105999,0.027572955610784895,0.01299961040013094,0.10155939990016633,0.7977291922644252,0.5609756097560976,52
validation_3,persistence,0.08187701847188959,0.03153846153846155,0.011071614388213103,0.12813683162560097,1.0,0.0,52
