uf,modelo,mae,rmse,mae_quiet,mae_event,rmse_quiet,rmse_event,directional_accuracy,n,n_quiet,n_event,largest_error_share_of_sse
RS,persistencia,0.026865384615384614,0.0349168426040485,0.010643835616438292,0.041132530120481986,0.012620379257484158,0.04638316063359035,0.0,156,73,83,0.06132717818216205
RS,linear,0.0267328898537576,0.03475911945124287,0.011353533434993037,0.04025931176423728,0.013541311578543543,0.04592986223875772,0.5379310344827586,156,73,83,0.06827809870022326
RS,vs_epl_krls,0.03856396654268156,0.047582977432147,0.028846833129750542,0.0471103609901992,0.03333093628659621,0.05725722490750113,0.5103448275862069,156,73,83,0.044419479286772444
SP,persistencia,0.017288461538461516,0.023864333434152514,0.008883495145630972,0.03362264150943407,0.010925609000821469,0.038003971987049696,0.0,156,103,53,0.2174735207050649
SP,linear,0.017477175953918404,0.02360915989863713,0.009674061019204856,0.032641720072323986,0.011554400770989114,0.03716416640062711,0.5755395683453237,156,103,53,0.2174775021878981
SP,vs_epl_krls,0.056581040028667394,0.06554614942751441,0.05042386601466559,0.06854686877285956,0.0585819587793095,0.07730633926743917,0.48201438848920863,156,103,53,0.02587977144110351
MG,persistencia,0.019448717948717976,0.028338159468308425,0.007919191919191958,0.03947368421052632,0.010419484467364674,0.04482480516293107,0.0,156,99,57,0.11114658833296
MG,linear,0.020792622588210515,0.028957178048382232,0.01072945437677127,0.03827075685018393,0.013967851353258254,0.04422705506233844,0.5109489051094891,156,99,57,0.07704936764286394
MG,vs_epl_krls,0.0274127024605851,0.03621686062211078,0.019205096789040838,0.04166801757431987,0.022017218151152346,0.05242004493758162,0.5401459854014599,156,99,57,0.11754722911985248
PR,persistencia,0.021814102564102572,0.030678126342679975,0.00969892473118278,0.03969841269841274,0.011621263418443715,0.04616378708571512,0.0,156,93,63,0.11510771766596943
PR,linear,0.021788921369945282,0.030472380884142055,0.010025810038071457,0.03915351428842569,0.011739112458542391,0.045780751949432236,0.5633802816901409,156,93,63,0.1204609702701192
PR,vs_epl_krls,0.02470916384217334,0.03444724313838879,0.014792581470725085,0.03934792829526362,0.01805110479057863,0.04957089161347867,0.5070422535211268,156,93,63,0.12571644558247444
