step,target,prediction_naive,error_naive,prediction_variable,error_variable,beta_variable,rules_variable,dictionary_total_variable,prediction_fixed,error_fixed,beta_fixed,rules_fixed,dictionary_total_fixed
0,0.42761792699386075,0.5,-0.07238207300613925,0.0,0.42761792699386075,0.18,1,1,0.0,0.42761792699386075,0.18,1,1
1,0.40553832306913457,0.42761792699386075,-0.022079603924726188,0.3939846854671963,0.011553637601938282,0.1404,1,2,0.3939846854671963,0.011553637601938282,0.18,1,2
2,0.46180537454104925,0.40553832306913457,0.056267051471914686,0.38898726939134654,0.07281810514970272,0.156,1,3,0.38898726939134654,0.07281810514970272,0.18,1,3
3,0.47800095527452335,0.46180537454104925,0.016195580733474102,0.4385312824114277,0.03946967286309566,0.12168000000000001,1,4,0.4385312824114277,0.03946967286309566,0.18,1,4
4,0.4170587793411626,0.47800095527452335,-0.060942175933360765,0.44564532886766517,-0.02858654952650258,0.0949104,1,4,0.44564532886766517,-0.02858654952650258,0.18,1,4
5,0.44450183848755437,0.4170587793411626,0.02744305914639178,0.4431887416152759,0.0013130968722784853,0.07403011200000001,1,4,0.4431887416152759,0.0013130968722784853,0.18,1,4
6,0.49131696240956735,0.44450183848755437,0.04681512392201298,0.4464566686387515,0.04486029377081585,0.08225568000000001,1,5,0.4464566686387515,0.04486029377081585,0.18,1,5
7,0.49109201866054303,0.49131696240956735,-0.00022494374902432002,0.4345756183799886,0.056516400280554435,0.09139520000000001,1,5,0.4345756183799886,0.056516400280554435,0.18,1,5
8,0.5092377525939168,0.49109201866054303,0.018145733933373764,0.4509140220589626,0.05832373053495421,0.10155022222222224,1,5,0.4509140220589626,0.05832373053495421,0.18,1,5
9,0.4987446087437519,0.5092377525939168,-0.010493143850164866,0.4563181308751647,0.04242647786858722,0.11283358024691359,1,5,0.4563181308751647,0.04242647786858722,0.18,1,5
10,0.5521931486741094,0.4987446087437519,0.053448539930357475,0.47089940420500964,0.08129374446909976,0.12537064471879286,1,5,0.47089940420500964,0.08129374446909976,0.18,1,5
11,0.5594871547518174,0.5521931486741094,0.007294006077708026,0.46246308563732913,0.0970240691144883,0.1393007163542143,1,5,0.46246308563732913,0.0970240691144883,0.18,1,5
12,0.5511968781843164,0.5594871547518174,-0.008290276567501031,0.5064042203470345,0.044792657837281924,0.15477857372690476,1,5,0.5064042203470345,0.044792657837281924,0.18,1,5
13,0.5868743346309725,0.5511968781843164,0.0356774564466561,0.526410508108851,0.060463826522121455,0.17197619302989417,1,5,0.526410508108851,0.060463826522121455,0.18,1,5
14,0.5791464944654536,0.5868743346309725,-0.007727840165518862,0.5490661576201201,0.03008033684533351,0.13414143056331745,1,5,0.5490661576201201,0.03008033684533351,0.18,1,5
15,0.5543360426265486,0.5791464944654536,-0.024810451838905068,0.562056174489008,-0.007720131862459456,0.10463031583938762,1,5,0.562056174489008,-0.007720131862459456,0.18,1,5
16,0.5929678451148206,0.5543360426265486,0.03863180248827203,0.5531174331125748,0.039850412002245816,0.08161164635472234,1,5,0.5531174331125748,0.039850412002245816,0.18,1,5
17,0.5672570314388152,0.5929678451148206,-0.025710813676005362,0.5679365457989977,-0.0006795143601824316,0.06365708415668343,1,5,0.5679365457989977,-0.0006795143601824316,0.18,1,5
18,0.6201990866802275,0.5672570314388152,0.05294205524141227,0.5650286575370049,0.055170429143222566,0.07073009350742604,1,5,0.5650286575370049,0.055170429143222566,0.18,1,5
19,0.6035078350770423,0.6201990866802275,-0.016691251603185187,0.5687747529189614,0.03473308215808091,0.055169472935792316,1,5,0.5687747529189614,0.03473308215808091,0.18,1,5
20,0.6061440580201334,0.6035078350770423,0.002636222943091071,0.5845395782626064,0.021604479757526995,0.043032188889918006,1,6,0.5845395782626064,0.021604479757526995,0.18,1,6
21,0.5992269524863005,0.6061440580201334,-0.006917105533832846,0.6025558187026274,-0.0033288662163268867,0.03356510733413605,1,6,0.6025558187026274,-0.0033288662163268867,0.18,1,6
22,0.6517581426266934,0.5992269524863005,0.05253119014039287,0.6017058396034428,0.05005230302325059,0.03729456370459561,2,7,0.6017058396034428,0.05005230302325059,0.18,1,6
